cartodb_id|orig_geocode_string|orig_lat|orig_lon|mapzen_lat|mapzen_lon|mapquest_lat|mapquest_lon
337218|906 N Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|28.69666|-96.38969|27.7984394722735|-97.3972765083686
337221|910 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.797817|-97.3938284
337219|909 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.797817|-97.3938284
337222|912 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.797817|-97.3938284
556923|Eloy Gonzalo 27, Spain|40.43465|-3.7005|39.03805|-4.174802|35.2904386|-2.9412954
556922|Calle Ferrocarril 31, Spain|28.7078705|-106.0983582|40.400758|-3.697312|36.7097226|-4.4350044
556924|Amaniel 7, Madrid|40.4252586|-3.7092299|40.425398|-3.709378|40.4251964|-3.7092445
556925|Calle Ferrocarril 31, Madrid|40.4007683|-3.6972499|40.400758|-3.697312|40.4431197|-3.53493509499273
337223|916 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.797817|-97.3938284
337224|917 N Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|28.69666|-96.38969|27.7985221571142|-97.3974587733572
337225|921 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.7999633656341|-97.3939626124246
354773|Eloy Gonzalo 27, Madrid|40.43465|-3.7005|40.434732|-3.700444|40.4346254|-3.7004292
3026794|10880 Thienes Ave. South El Monte, CA South El Monte, CA 91733 United States|34.0481911|-118.0394897|34.048193|-118.039491|34.0480547367941|-118.038871882816
537542|Severodvinsk|64.56192|39.8265|64.5635|39.8302|64.5637899|39.8240999
537544|Växjö|56.87996|14.79945|56.87767|14.80906|56.9088201|14.9016633384489
537545|Vinslöv|56.1036|13.91301|56.09299|13.91206|56.102213|13.9095768
537543|Valašské Meziříčí|49.47437|17.96168|49.47181|17.97113|49.4718043|17.9716332
537546|heilbronn|49.14315|9.21929|49.13995|9.22054|49.1422908|9.2186549
337288|Albany, Albany ,New York, USA|42.65156|-73.75521|42.65258|-73.75623|42.6511674|-73.754968
